lat,lon,datetime,GPS_speed_kt,Dist_slant,Line_num,Notes,activity,PeakFreq,PeakLev,BB,OL_Hz,OL_31_5,OL_63,OL_125,OL_250,OL_500,OL_1000,OL_2000,OL_4000,OL_8000,OL_16000,TOL_Hz,TOL_25,TOL_31_5,TOL_40,TOL_50,TOL_63,TOL_80,TOL_100,TOL_125,TOL_160,TOL_200,TOL_250,TOL_315,TOL_400,TOL_500,TOL_630,TOL_800,TOL_1000,TOL_1250,TOL_1600,TOL_2000,TOL_2500,TOL_3150,TOL_4000,TOL_5000,TOL_6300,TOL_8000,TOL_10000,TOL_12500,TOL16000,TOL_20000
42.14453897,-70.41477196,2022-09-28T16:16:23Z,5.754148676,247.615956,pre_survey,NA,Off_eff_transit,70,105.9507909,121.4924913,NA,99.57078829,111.3347466,111.5051905,112.6115995,112.6731124,116.9456851,112.4087041,106.4866149,105.4206443,98.81286548,NA,87.06355174,98.69873285,90.56697244,90.71108194,111.1844826,95.37376398,109.2347234,104.3412144,104.8296813,108.9736446,106.9047137,107.3618485,111.0801926,105.1964595,103.7538129,113.6489559,112.4436353,109.4319516,107.7828837,109.4887782,104.016534,100.5143264,102.20879,102.2126162,101.8885792,100.2389315,99.45755775,96.82397847,93.81946689,85.8644223
42.14478297,-70.41494002,2022-09-28T16:16:32Z,6.587233369,277.1063449,pre_survey,NA,Off_eff_transit,510,104.6220176,119.9372518,NA,96.55058926,107.9592066,107.8052617,113.4768519,111.6202414,114.516618,111.0695091,106.4559314,104.5707091,98.2267442,NA,83.64520595,95.82288199,86.68116156,90.82774993,107.7607239,91.99315371,101.585468,103.7567078,103.458147,105.3114858,109.2742635,110.1743815,107.7097961,108.5265205,101.753286,108.322649,111.1081916,109.3393662,103.802602,108.9869428,103.9316437,102.0168173,101.7719495,101.2283171,100.1134078,100.4729282,98.59223912,96.39409698,92.8948399,85.32738649
42.144974,-70.41510799,2022-09-28T16:16:40Z,6.16816618,301.5602737,pre_survey,NA,Off_eff_transit,70,106.4433861,119.2766306,NA,94.81857323,110.8350191,107.6349005,111.8423105,111.71821,113.1084653,109.6076597,105.7551686,103.6676744,97.81994421,NA,81.14801789,91.37448829,91.84787409,92.92904546,110.4499192,99.20199368,101.0204252,101.4527233,104.9675319,105.338775,106.0785056,108.9272162,108.108341,108.5028359,101.1400905,105.7925745,108.7849992,109.5914626,103.7037611,106.0390037,104.4294383,101.8645346,100.3811802,100.5495471,98.86037066,99.52066342,98.20954619,95.77886111,92.87811798,85.18319719
42.14515697,-70.415253,2022-09-28T16:16:48Z,5.740257353,324.5577262,pre_survey,NA,Off_eff_transit,69,102.5422839,117.8395461,NA,96.95619684,108.3258308,108.4039768,108.8334631,110.4613406,111.3580621,109.1258146,105.2726808,103.1967245,96.97007961,NA,78.71058246,94.86360377,92.60729307,88.68810417,108.0636315,95.11259068,104.9839821,101.8999772,103.4736969,103.4122156,102.6059219,105.5970838,107.5081552,106.564034,99.79358131,102.6246562,106.4810423,108.688645,105.4272543,103.060663,104.2557325,100.4288384,100.0096577,101.0077843,99.71217037,97.77859738,97.42135975,95.34457338,91.11254357,84.18448448
42.14527499,-70.41532097,2022-09-28T16:16:52Z,6.942223902,338.5416936,pre_survey,NA,Off_eff_transit,70,105.2539978,118.1492327,NA,97.44697849,109.7083735,106.6110077,110.1938346,109.4762542,111.8276043,109.903411,105.8124493,103.536886,96.06557741,NA,80.48768772,96.6194197,89.3040164,90.88362966,109.4108332,96.96008003,102.3782598,100.1692451,102.5854612,105.8501162,104.1035612,106.0615615,107.1262928,104.4380448,99.66466631,102.9158716,106.9821602,109.1823025,106.8399937,101.5583379,105.462748,100.5673658,101.4790176,101.0295486,100.6134778,97.92777122,96.86228115,93.97458773,91.1458519,83.8468858
42.14547004,-70.41545098,2022-09-28T16:16:59Z,6.725614178,362.3151449,pre_survey,NA,Off_eff_transit,70,105.0003178,117.3993154,NA,97.31835884,108.4914335,107.9776692,107.5807153,110.0506354,109.6920644,110.2376699,105.0842666,102.5248833,95.09948832,NA,84.71883982,96.69165877,86.31735261,93.87170414,107.9310762,97.8632653,104.0526029,103.0514932,102.3443055,102.9758698,101.7480508,103.5201505,107.9558065,104.9744127,98.62059867,98.72414102,103.918657,107.8567048,107.3953838,101.4602324,105.6505327,98.50204213,101.3034757,100.6666621,99.07194459,97.77702386,95.81518144,93.04636448,90.15665755,82.60423571
42.14569903,-70.41560403,2022-09-28T16:17:07Z,6.912634611,390.3044065,pre_survey,NA,Off_eff_transit,69,103.9407082,117.1026526,NA,95.80495529,108.5246487,108.6439516,108.1552028,109.5360458,108.9802871,109.2882661,104.5503471,101.5152584,94.67457133,NA,77.73834343,95.03087027,87.49730274,93.34420158,108.1901471,94.93885308,103.4924979,105.3381928,102.2136661,103.9741016,102.614456,103.4565103,106.0496046,106.2142034,98.90776536,99.02009895,103.1286867,107.0363756,105.9298976,100.8262271,105.2653852,98.22937483,101.058704,99.59046542,97.88507869,96.94316244,94.89055396,93.08236171,88.81061884,81.46384648
42.14594303,-70.415771,2022-09-28T16:17:16Z,6.578393869,420.3272709,pre_survey,NA,Off_eff_transit,70,103.9058918,116.4509082,NA,98.60940434,108.2813395,106.0133274,107.0513764,109.7809168,107.2111812,109.2898796,104.4537542,101.0088465,95.13882062,NA,82.70334884,97.58673676,91.26085604,91.95595416,107.8766356,96.45506138,101.315022,102.2642361,99.80164446,101.1175682,101.6860816,103.6241971,105.1970673,107.0465109,100.5428491,94.54778738,99.98529918,105.9988593,106.0699659,100.2922741,105.2843168,98.62970086,100.9564914,99.09955487,96.6528358,96.11013802,95.91595497,93.33832099,89.64284236,82.71908952
42.14607999,-70.41586303,2022-09-28T16:17:21Z,6.622155593,437.1432872,pre_survey,NA,Off_eff_transit,60,102.5322132,116.3555557,NA,100.7390384,107.361475,105.6733497,106.9229461,110.3963454,106.6287592,109.179057,104.0995001,101.0017526,94.61753901,NA,81.46844445,100.0834083,91.82106461,92.95550764,106.953537,94.63661555,98.97730771,102.3192728,100.7796266,102.09058,100.2217833,103.5276972,106.2113869,107.7485102,99.1452421,96.14510681,98.40052484,105.4378291,105.9347581,101.7194942,104.5790435,97.57870017,100.9930409,98.6956352,97.22440218,95.51797742,95.74475566,92.43658773,89.86945269,82.37572764
42.14633899,-70.416016,2022-09-28T16:17:30Z,6.798036085,468.2361322,pre_survey,NA,Off_eff_transit,510,103.0644244,115.8969437,NA,98.93930083,102.8315496,104.8675246,106.6232389,111.4706286,105.8119476,108.4699586,103.5764267,100.4839519,93.8109416,NA,80.66059867,98.23136851,90.26033881,87.16114522,101.9776131,94.6328914,98.97169734,100.9110771,100.1898912,102.8756074,100.4819556,101.8727134,106.5155775,108.8235519,102.8335909,98.89560394,97.07177186,104.0266832,105.1916938,101.6035811,103.5775193,97.85420953,100.110166,98.07972824,96.93977855,95.53735808,94.2441747,91.66198072,88.865886,82.26584961
42.14659899,-70.41618297,2022-09-28T16:17:39Z,6.923627631,499.9631872,pre_survey,NA,Off_eff_transit,69,99.02739796,114.9860838,NA,95.715227,103.4192237,104.6987599,106.6131375,109.4346028,105.2931527,107.5311393,103.2575068,100.9973196,93.1883651,NA,76.28515107,94.32402556,89.9097052,89.40246658,102.7861257,93.24154984,99.92767958,99.19812083,100.5517843,102.1666098,100.857941,102.3538746,104.7878612,105.3064357,103.7553901,99.76863927,97.01942364,102.8590557,104.3033811,101.0174091,102.3204658,98.92364302,98.78561722,97.63870562,97.41990745,96.45451006,94.21692317,91.34804014,87.70343128,81.15376758
42.14690401,-70.41639696,2022-09-28T16:17:50Z,6.763406888,537.8681593,pre_survey,NA,Off_eff_transit,70,106.2373422,115.7708557,NA,94.04088728,109.3989312,104.7112847,107.2351463,109.0664949,106.9255852,106.0919984,102.9244777,100.5823795,93.16700706,NA,89.88970682,90.28267474,86.93260384,91.30460939,108.9167665,98.92070145,98.62119156,98.4684987,101.8414575,103.3553282,101.3130359,102.4854376,102.7205659,104.7981997,105.0190945,103.636725,100.6832377,101.6017843,102.2532741,99.80515041,101.5536885,99.39979318,97.88961899,96.76529307,97.35339249,95.56072534,93.80248155,91.62205483,87.13306312,80.16634426
