"","RLDateTimeHyd_Serial","RLDateTimeHyd","Tow","Activity","PeakFreq","PeakLev","BB","OL_Hz","OL_31_5","OL_63","OL_125","OL_250","OL_500","OL_1000","OL_2000","OL_4000","OL_8000","OL_16000","TOL_Hz","TOL_25","TOL_31_5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL16000","TOL_20000"
"29",738792.6827,"2022-09-28T16:23:03Z","1","Transect",96,100.7724252,113.7768289,NA,89.09677457,102.7144657,108.4174305,107.2982893,106.883095,104.4991897,99.36796804,97.24342059,95.94630486,90.30222848,NA,78.6446105,86.12312708,85.17829122,95.42905641,97.5592123,99.77346046,105.6869882,103.7797879,99.31559667,102.2157167,102.7836795,102.5630532,104.1845497,100.7086124,100.3366639,101.4204644,98.19292232,98.87243266,93.26187941,95.74564524,94.42753708,92.50613595,91.56499484,93.19351397,92.04626339,90.57989551,90.74610321,88.31015713,84.81858202,79.59581151
"30",738792.6827,"2022-09-28T16:23:04Z","1","Transect",96,101.6358342,114.2943714,NA,89.37285015,103.4503357,109.2112582,107.8385282,107.4806119,104.7009809,98.58651666,96.39520173,95.40929171,89.77700889,NA,78.215182,86.87207405,84.9498271,95.80990152,99.39503982,99.83283035,106.5612617,104.8060361,98.94750064,101.4850014,103.8167684,103.5478221,105.4980721,100.1121663,100.1099579,102.2852587,98.33692086,97.61575841,93.42292846,94.66027864,93.21851201,92.23943989,90.26170673,92.10451873,91.29660037,90.69532773,89.7920831,87.73329629,84.09327307,79.99709087
"31",738792.6827,"2022-09-28T16:23:05Z","1","Transect",96,102.5396356,113.6124539,NA,88.86653347,102.4132748,108.0821093,107.6756215,106.9634309,104.148197,97.55964615,95.08443178,94.81091483,90.08383189,NA,81.9814406,81.00408367,86.87050654,94.11377225,98.98173369,98.41528684,106.6411476,100.2576864,98.77644413,101.9135775,103.2135785,103.4359966,104.9092944,99.87777991,99.54571302,101.6966077,97.98715072,96.91994686,92.25829986,93.82111761,92.06458065,90.21995021,89.22069698,91.26024357,89.79122056,90.17449739,90.14306069,88.13281553,84.37686265,79.77631115
"32",738792.6827,"2022-09-28T16:23:06Z","1","Transect",82,98.04189848,113.1760686,NA,90.02645347,105.5197978,106.741841,106.674285,106.3575448,103.7777055,96.75912399,93.53799592,93.81322129,89.44387092,NA,79.56398856,86.5128104,86.69928949,93.57161459,102.1783256,102.2670971,102.8418729,101.2111973,101.6939542,101.3883132,100.839935,103.1380247,104.0033119,99.29237112,99.8193042,101.5583514,97.10522765,96.44858528,91.73092223,92.73356594,91.38382066,88.90644711,88.35694111,89.00906238,89.0243425,89.05888341,89.04273156,87.57768503,83.80781896,78.26074803
"33",738792.6827,"2022-09-28T16:23:07Z","1","Transect",96,102.6484082,113.3821423,NA,88.61807089,104.2484049,108.8762953,106.7347653,105.7985216,102.8807012,95.9031306,92.55362714,93.08996662,88.75762647,NA,74.62592855,85.92930231,84.86805295,92.53813693,101.2157871,100.6344374,106.1217984,104.0855165,100.2697336,101.9317656,100.5192772,103.0701384,103.4964043,98.52301945,99.30451541,100.5527215,96.91380492,94.97121644,90.80119112,91.92219495,90.54578751,87.79411499,87.13465514,88.33567869,87.96922844,88.18155,88.76582259,86.90888703,83.00565352,77.82787846
"34",738792.6827,"2022-09-28T16:23:08Z","1","Transect",421,102.4247344,114.2727231,NA,92.54964439,104.2218523,107.8898876,107.4677972,108.2279662,102.8038897,95.4422216,91.55650094,92.04923283,87.47014914,NA,88.87562962,84.26679319,88.80651772,93.29473368,101.4886996,100.0908188,105.4154488,101.4008565,101.1100303,103.0916819,101.7061653,103.1446328,106.7481654,100.3014976,99.28505231,100.7625604,96.6622293,94.00604809,90.69369649,91.09764763,90.17240743,86.1491315,86.79780814,87.32900751,87.59246515,87.22193621,86.99885229,85.68936929,81.67251869,76.11560156
"35",738792.6827,"2022-09-28T16:23:09Z","1","Transect",64,99.09129673,113.1081437,NA,88.40717798,104.558614,106.4446477,107.7351864,106.6375431,102.8081843,95.88815598,90.61058922,89.91355629,85.99975894,NA,79.74490111,84.24900679,85.22011538,93.90526144,101.9411265,100.2009479,100.7347154,104.2303745,97.61334237,102.4020727,102.3960328,103.9119873,103.9981757,100.6822908,99.68304877,100.296261,96.82440231,95.52827273,91.39493124,92.03025039,89.56701668,86.12269438,85.99996063,85.35722282,84.69281738,85.27970929,85.42071186,84.16955977,79.87692721,75.9867556
"36",738792.6828,"2022-09-28T16:23:10Z","1","Transect",64,98.33369528,113.2626746,NA,87.60968789,104.6769733,105.5007037,108.6537522,106.9618248,102.5428233,95.17382612,89.94810151,88.96670875,85.74844899,NA,76.53420277,83.83599043,84.62134336,95.07461342,101.0229628,101.2978523,99.52333253,102.3598979,99.68869754,102.2624674,102.7582333,105.7561797,104.6273141,100.7174138,99.47514638,100.5465613,95.7385745,94.57788583,90.40494622,90.6848465,90.09825468,85.5799191,84.63061357,85.26694096,84.11900761,84.09159823,84.37041007,83.6349815,79.45663529,77.52233985
"37",738792.6828,"2022-09-28T16:23:11Z","1","Transect",123,99.14330541,112.6400457,NA,86.74668217,103.5841197,105.3137372,108.0057234,106.1689053,101.9684397,95.89107536,89.66924261,88.9339748,84.69922913,NA,76.348705,83.69912025,82.90647731,92.71022316,101.7550712,97.76610302,94.73469507,104.2127114,96.66247097,102.9951488,101.8220195,104.4771675,103.8324814,99.90567225,98.71337948,99.08653563,96.67901871,94.73665244,90.84095103,92.37614774,89.73371557,84.93580786,84.39763102,85.31232941,83.97360226,84.26761602,84.24102274,81.82524742,78.79372443,78.26604291
"38",738792.6828,"2022-09-28T16:23:12Z","1","Transect",123,99.07500107,112.6603355,NA,89.17421585,103.1656463,106.5942324,107.0399683,106.1108527,102.9210719,95.59472381,90.6133761,90.65283016,85.13225512,NA,74.88937309,86.15217256,85.84002045,92.05474551,101.1879914,97.76496355,97.04055641,104.9582253,99.67042508,102.9860412,100.8554404,102.6755647,103.9038663,99.28944538,98.90995454,100.7432943,95.9624972,95.7746362,89.61435293,92.69584951,89.29946863,85.96955475,85.95236243,85.59433836,86.00070499,86.60522266,84.86282727,82.0968359,79.52451848,78.71066926
"39",738792.6828,"2022-09-28T16:23:13Z","1","Transect",63,98.76531587,112.9075388,NA,90.76117303,104.0146143,105.7103428,107.0664809,107.487388,102.2146904,95.93990844,91.30887091,91.06353653,86.08702845,NA,83.71736489,88.35425064,84.33962348,91.63857284,102.5781819,97.51231248,100.7279894,102.1436895,99.55932661,102.018931,99.46097789,104.1732014,105.2657055,100.6485193,100.3513506,99.35022383,96.7640482,95.17839236,90.75405775,92.89332898,88.97572967,86.60014823,86.32937069,86.67586597,86.09610542,86.3451252,86.42888275,83.31908982,80.12345206,79.47158703
"40",738792.6828,"2022-09-28T16:23:14Z","1","Transect",64,100.0575982,113.4514219,NA,88.79756417,105.0304627,105.2193127,107.878889,108.2629528,102.6477571,96.79761925,91.84861784,92.37783547,88.23911603,NA,78.20667378,83.50107514,86.70295717,94.27177505,103.4962083,98.32738422,99.98305599,101.0204266,100.2739137,101.9632233,100.7584943,105.2810547,105.6504149,101.8458341,101.762675,98.88143938,97.95411461,96.45970987,91.05272007,93.58043725,90.89483049,87.13807246,87.53219173,86.50013998,86.3791193,87.47870449,88.66252868,86.55196921,81.35406276,78.92229089
"41",738792.6828,"2022-09-28T16:23:15Z","1","Transect",213,98.77868628,114.3758127,NA,88.69806101,102.4644453,107.2809985,109.9019603,107.8826463,104.0567985,98.62024951,95.26036676,97.02578371,92.28924485,NA,80.78085744,86.2065365,83.09170896,94.73285977,97.97644645,99.23696452,101.9212244,104.3068614,100.3928636,107.0963559,102.5093607,104.5793571,104.8781863,102.0924771,101.606322,99.98093798,99.78159383,97.76976582,92.45119148,95.15499881,93.50758274,90.24422868,90.68793326,90.52376468,91.59430564,91.91107732,93.10777822,90.86422558,85.58009774,80.50955572
"42",738792.6828,"2022-09-28T16:23:16Z","1","Transect",205,96.75663395,115.1643937,NA,90.60681182,103.9857689,108.7785275,110.2309277,107.8004609,105.0757575,100.5434697,97.58511825,99.55909126,94.25758271,NA,81.85599623,86.46939383,87.42794921,96.06566934,97.51748451,101.8607623,104.3776333,104.7779435,102.5614714,106.1044321,104.8030928,105.3732235,105.1828191,101.9557936,100.6414168,101.0000918,100.044555,99.77110478,93.2683112,97.65608467,95.29101944,92.20756906,92.3596905,93.71157875,94.15317693,94.83972396,95.29538208,92.44223802,87.86523166,84.75542946
